,journal,ISSN
203,Regional Environmental Change,14363798
204,Remote Sensing,20724292
205,Remote Sensing of Environment,344257
206,Renewable Energy,9601481
207,Renewable and Sustainable Energy Reviews,13640321
208,Review of Palaeobotany and Palynology,346667
209,Russian Meteorology and Hydrology,10683739
210,Science,368075
211,Science China Earth Sciences,18691897
212,Science of the Total Environment,489697
213,Scientific Reports,20452322
214,Sedimentary Geology,370738
215,Sedimentology,370746
216,Soil Biology and Biochemistry,380717
217,Stochastic Environmental Research and Risk Assessment,14363259
218,Transportation Research Record,3611981
219,Tree Physiology,0829318X
220,Trees - Structure and Function,9311890
221,Water (Switzerland),20734441
222,Water Resources Management,15731650
223,Water Resources Research,431397
224,Water Science and Technology,2731223
225,Wetlands,2775212
